full_title,year,brand,model,price,location,mileage,gearbox,ad_url,scrape_date
پژو، 207,,پژو،,207,940000000,تهران/آزادی,صفر,گیربکس,https://bama.ir/car/detail-w9t6ngdl-peugeot-207-manualpanorama-1404,2025-05-31 15:02:03.850985
پژو، 207,,پژو،,207,توافقی,تهران/قیطریه,صفر,گیربکس,https://bama.ir/car/detail-rca4vfxb-peugeot-207-automaticpanoramatu5p-1404,2025-05-31 15:02:06.282801
پژو، 207,,پژو،,207,1100000000,تهران/جمهوری,صفر,گیربکس,https://bama.ir/car/detail-p9liyryt-peugeot-207-automaticpanoramatu5p-1403,2025-05-31 15:02:07.757106
پژو، 206,,پژو،,206,680000000,تهران/اکباتان,40000km,گیربکس,https://bama.ir/car/detail-gievlmq7-peugeot-206ir-type5-1399,2025-05-31 15:02:10.112310
پژو، 207,,پژو،,207,380000000,کرج/عظیمیه,صفر,گیربکس,https://bama.ir/car/detail-vw29tdlq-peugeot-207-tu3mt-1404,2025-05-31 15:02:12.402695
پژو، 207,,پژو،,207,توافقی,تهران/جمهوری,صفر,گیربکس,https://bama.ir/car/detail-yci4zpjl-peugeot-207-manualpanorama-1404,2025-05-31 15:02:15.077642
پژو، 207,,پژو،,207,720000000,تهران/تهرانپارسغربی,21000km,گیربکس,https://bama.ir/car/detail-qo3nb7i2-peugeot-207-mt-1401,2025-05-31 15:02:16.716059
پژو، 207,,پژو،,207,955000000,اصفهان/هفتون,صفر,گیربکس,https://bama.ir/car/detail-gkhznlgo-peugeot-207-attu5p-1402,2025-05-31 15:02:18.547648
پژو، 207,,پژو،,207,780000000,تهران/قیطریه,34000km,گیربکس,https://bama.ir/car/detail-bdizunaf-peugeot-207-mt-1402,2025-05-31 15:02:20.622358
پژو، 207,,پژو،,207,1100000000,ری,صفر,گیربکس,https://bama.ir/car/detail-zsqwy2ld-peugeot-207-automaticpanoramatu5p-1404,2025-05-31 15:02:22.294399
پژو، 207,,پژو،,207,630000000,البرز,125000km,گیربکس,https://bama.ir/car/detail-dfkoxpwb-peugeot-207-at-1397,2025-05-31 15:02:24.516831
پژو، 405,,پژو،,405,235000000,فیروزآباد,230000km,گیربکس,https://bama.ir/car/detail-2sm58j46-peugeot-405-gli-1383,2025-05-31 15:02:26.354007
پژو، 207,,پژو،,207,1107000000,تهران/آزادی,صفر,گیربکس,https://bama.ir/car/detail-fygdozum-peugeot-207-automaticpanoramatu5p-1404,2025-05-31 15:02:28.285395
پژو، 207,,پژو،,207,890000000,تهران/بلوارفردوس,15000km,گیربکس,https://bama.ir/car/detail-dpj6nq7b-peugeot-207-automaticmc-1402,2025-05-31 15:02:30.072972
پژو، 207,,پژو،,207,1175000000,تهران/جمهوری,صفر,گیربکس,https://bama.ir/car/detail-nbfetgju-peugeot-207-automaticpanoramatu5p-1404,2025-05-31 15:02:31.603238
پژو، 207,,پژو،,207,880000000,تهران/آزادی,صفر,گیربکس,https://bama.ir/car/detail-l6uwxscf-peugeot-207-manualpanorama-1404,2025-05-31 15:02:33.665918
پژو، 207,,پژو،,207,760000000,تهران/شهرکغرب,39000km,گیربکس,https://bama.ir/car/detail-1knrvkj7-peugeot-207-manualpanorama-1401,2025-05-31 15:02:35.843798
پژو، 207,,پژو،,207,480000000,کرج/مصباح,380000km,گیربکس,https://bama.ir/car/detail-9teez5gi-peugeot-207-mt-1390,2025-05-31 15:02:37.743405
پژو، 207,,پژو،,207,1028000000,تهران/آزادی,صفر,گیربکس,https://bama.ir/car/detail-on9maixa-peugeot-207-attu5p-1404,2025-05-31 15:02:39.511414
پژو، 207,,پژو،,207,755000000,تهران/تهرانپارسغربی,55000km,گیربکس,https://bama.ir/car/detail-s0mazclz-peugeot-207-manualpanorama-1400,2025-05-31 15:02:41.897674
پژو، 207,,پژو،,207,1000000000,تهران/آزادی,صفر,گیربکس,https://bama.ir/car/detail-9q0gcylz-peugeot-207-attu5p-1404,2025-05-31 15:02:44.015797
